text,link,source,,,
"COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19. The virus likely spreads primarily through respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory infections spread. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death.

It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.

People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of developing serious COVID-19 illness. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, faceshield or goggles and facemask).

Cleaning should be conducted in accordance with manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.). Products with EPA-approved emerging viral pathogens claimspdf iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. After removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are not available. Soap and water should be used if the hands are visibly soiled.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"A funeral or visitation service can be held for a person who has died of COVID-19. Funeral home workers should follow their routine infection prevention and control precautions when handling a decedent who died of COVID-19. If it is necessary to transfer a body to a bag, follow Standard Precautions, including additional personal protective equipment (PPE) if splashing of fluids is expected. For transporting a body after the body has been bagged, disinfect the outside of the bag with a product with EPA-approved emerging viral pathogens claimspdf iconexternal icon expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.). Wear disposable nitrile gloves when handling the body bag.

Embalming can be conducted. During embalming, follow Standard Precautions including the use of additional PPE if splashing is expected (e.g. disposable gown, faceshield or goggles and facemask). Wear appropriate respiratory protection if any procedures will generate aerosols or if required for chemicals used in accordance with the manufacturer’s label. Wear heavy-duty gloves over nitrile disposable gloves if there is a risk of cuts, puncture wounds, or other injuries that break the skin. Additional information on how to safely conduct aerosol-generating procedures is in the CDC’s Postmortem Guidance. Cleaning should be conducted in accordance with manufacturer’s instructions. Products with EPA-approved emerging viral pathogens claimspdf iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. Follow the manufacturer’s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.).

After cleaning and removal of PPE, perform hand hygiene by washing hands with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water is not available. Soap and water should be used if the hands are visibly soiled.

Decedents with COVID-19 can be buried or cremated, but check for any additional state and local requirements that may dictate the handling and disposition of the remains of individuals who have died of certain infectious diseases.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to provide assistance to US citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassyexternal icon closest to or in the country where the US citizen died can provide assistance.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"CDC does not require an autopsy before the remains of a person who died overseas are returned to the United States. Depending on the circumstances surrounding the death, some countries may require an autopsy. Sources of support to the family include the local consulate or embassy, travel insurance provider, tour operator, faith-based and aid organizations, and the deceased’s employer. There likely will need to be an official identification of the body and official documents issued by the consular office.

CDC requirements for importing human remains depend upon if the body has been embalmed, cremated, or if the person died from a quarantinable communicable disease.

At this time, COVID-19 is a quarantinable communicable disease in the United States and the remains must meet the standards for importation found in 42 Code of Federal Regulations Part 71.55 and may be cleared, released, and authorized for entry into the United States only under the following conditions:

The remains are cremated; OR
The remains are properly embalmed and placed in a hermetically sealed casket; OR
The remains are accompanied by a permit issued by the CDC Director. The CDC permit (if applicable) must accompany the human remains at all times during shipment.
Permits for the importation of the remains of a person known or suspected to have died from a quarantinable communicable disease may be obtained through the CDC Division of Global Migration and Quarantine by calling the CDC Emergency Operations Center at 770-488-7100 or emailing dgmqpolicyoffice@cdc.gov.
Please see CDC’s guidance for additional information.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"This is an emerging, rapidly evolving situation and CDC will continue to provide updated information as it becomes available. CDC works 24/7 to protect people’s health. More information about CDC’s response to COVID-19 is available online.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. The U.S. Centers for Disease Control and Prevention (CDC), the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States. CDC regulates animals and animal products that pose a threat to human health, USDA regulatesexternal icon animals and animal products that pose a threat to agriculture; and FWS regulatesexternal icon importation of endangered species and wildlife that can harm the health and welfare of humans, the interests of agriculture, horticulture, or forestry, and the welfare and survival of wildlife resources.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from China, a high-risk country for rabies.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"While this virus seems to have emerged from an animal source, it is now spreading from person-to-person in China. There is no reason to think that any animals including pets in the United States might be a source of infection with this new coronavirus. To date, CDC has not received any reports of pets or other animals becoming sick with COVID-19. At this time, there is no evidence that companion animals including pets can spread COVID-19. However, since animals can spread other diseases to people, it’s always a good idea to wash your hands after being around animals. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife, visit CDC’s Healthy Pets, Healthy People website.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"You should restrict contact with pets and other animals while you are sick with COVID-19, just like you would around other people. Although there have not been reports of pets or other animals becoming sick with COVID-19, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the virus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food. If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets and wear a facemask","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"Animals imported from China will need to meet CDC and USDA requirements for entering the United States. At this time, there is no evidence that companion animals including pets can spread COVID-19. As with any animal introduced to a new environment, animals recently imported from China should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. Call your local veterinary clinic before bringing the animal into the clinic and let them know that the animal was recently in China.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Center for Disease Control and Prevention (CDC),,,
"CDC provides recommendations for international travel, including guidance on when to consider postponing or canceling travel. Most of the time, this guidance is provided through travel health notices and is based on the potential health risks associated with traveling to a certain destination.

Travel health notices are designated as Level 1, 2, or 3, depending on the situation in that destination. (See below for what each level means). A list of destinations with coronavirus disease 2019(COVID-19) travel health notices is available at www.cdc.gov/coronavirus/2019-ncov/travelers/index.html.

Warning Level 3: CDC recommends travelers avoid all nonessential travel to these destinations.
Alert Level 2: CDC recommends older adults and people of any age with serious chronic medical conditions consider postponing nonessential travel.
Watch Level 1: CDC does not recommend canceling or postponing travel to destinations with, but it is important to take steps to prevent getting and spreading diseases during travel.
CDC also recommends all travelers, defer all cruise travel worldwide. This is particularly important for older adults and people of any age with serious chronic medical conditions.

If you do travel, take the following steps to help reduce your chances of getting sick:

Avoid contact with sick people.
Avoid touching your eyes, nose, or mouth with unwashed hands.
Wash your hands often with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol. Soap and water should be used if hands are visibly dirty.
It is especially important to clean hands after going to the bathroom; before eating; and after coughing, sneezing or blowing your nose.
Make sure you are up to date with your routine vaccinations, including measles-mumps-rubella (MMR) vaccine and the seasonal flu vaccine.

The COVID-19 pandemic is a rapidly evolving situation and CDC guidance is reviewed daily and updated frequently.


",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Yes. Airport layovers in international destinations with a level 3 travel health notice are included in CDC’s recommendation to avoid nonessential travel. If a layover is unavoidable, CDC recommends you not leave the airport. Even if you don’t leave the airport during your layover, you may still be subject to screening and monitoring when entering the United States.

A layover is anytime you exit a plane when traveling to your final destination.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Because of how air circulates and is filtered on airplanes, most viruses and other germs do not spread easily. Although the risk of infection on an airplane is low, try to avoid contact with sick passengers and wash your hands often with soap and water for at least 20 seconds or use hand sanitizer that contains at least 60% alcohol.

For more information: Exposure Risk During Travel",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Under current federal regulations, pilots must report all illnesses and deaths to CDC before arriving to a US destination. According to CDC disease protocols, if a sick traveler is considered to be a public health risk, CDC works with local and state health departments and international public health agencies to contact passengers and crew exposed to that sick traveler.

Be sure to give the airline your current contact information when booking your ticket so you can be notified if you are exposed to a sick traveler on a flight.

For more information: Contact Investigation",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"CDC recommends all travelers, particularly older adults and people of any age with serious chronic medical conditions defer all cruise ship travel worldwide. Recent reports of COVID-19 on cruise ships highlight the risk of infection to cruise ship passengers and crew. Like many other viruses, COVID-19 appears to spread more easily between people in close quarters aboard ships.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"CDC does not recommend that healthy travelers wear facemasks to protect themselves from COVID-19. Wear a facemask only if you are sick and coughing or sneezing to help prevent the spread of respiratory viruses to others. If you are well, it is more important to take these important steps to reduce your chances of getting sick:

Avoid close contact with people who are sick.
Avoid touching your eyes, nose, and mouth with unwashed hands.
To the extent possible, avoid touching high-touch surfaces in public places – elevator buttons, door handles, handrails, handshaking with people, etc.
Use a tissue or your sleeve to cover your hand or finger if you must touch something.
Wash your hands after touching surfaces in public places.
Clean AND disinfect frequently touched surfaces daily. This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.
Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; and after blowing your nose, coughing, or sneezing.
If soap and water aren’t available, use a hand sanitizer that contains at least 60% alcohol.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Be aware that some countries are conducting exit screening for all passengers leaving their country. Before being permitted to board a departing flight, you may have your temperature taken and be asked questions about your travel history and health.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"At this time, travel restrictions and entry screening only apply to travelers arriving from countries with a level 3 travel health notice. [Note: US policies are subject to change as the COVID-19 pandemic evolves.]

This means that if you traveled from countries other than those listed above, you:

Won’t be subject to additional health screening upon arrival in the United States, and
Won’t be under mandatory quarantine orders upon entry to the United States.
If you are arriving to the United States from a country with level 2 travel health notice, you will be asked to monitor your health and practice social distancing. Social distancing means staying out of crowded places, avoiding group gatherings, and maintaining distance (approximately 6 feet or 2 meters) from others when possible.

If you are coming from an international destination with a level 3 Travel Health Notice, you will be asked to stay home for 14 days from the time you return from travel, monitor your health and practice social distancing. Social distancing means staying out of crowded places, avoiding group gatherings, and maintaining distance (approximately 6 feet or 2 meters) from others when possible.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"At this time, American citizens, lawful permanent residents, and family members (as specified in the Presidential Proclamationexternal icon) who have been in countries with a Level 3 travel health notice within 14 days prior to their arrival will be allowed to enter the United States. Travelers from some countries with a level 3 travel health notice are being re-directed to certain airports and are screened for COVID-19 symptoms such as fever, cough or trouble breathing and asked questions about their travel and possible exposure to COVID-19. Travelers without symptoms will be told to stay home and practice social distancing.

More information for travelers from countries with a level 3 travel health notice is available here.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Currently, any traveler arriving to the United States after leaving a country with Level 3 travel health notice related to COVID-19 in the past 14 days will have some level of restrictions on their movements. All travelers from these countries should stay home and practice social distancing for 14 days from the time they left the outbreak area.

Foreign nationals who have visited China, Iran, and most European Countries in the past 14 days are temporarily not allowed to enter the United States.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
See CDC’s website about what to do if you get sick.,https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Center for Disease Control and Prevention (CDC),,,
"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.
Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.
Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects
(e.g., tables, countertops, light switches, doorknobs, and cabinet handles).",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:

Stay home when you are sick, except to get medical care.
If you develop emergency warning signs for COVID-19 get medical attention immediately. In adults, emergency warning signs*:
Difficulty breathing or shortness of breath
Persistent pain or pressure in the chest
New confusion or inability to arouse
Bluish lips or face
*This list is not all inclusive. Please consult your medical provider for any other symptom that is severe or concerning.
Use a separate room and bathroom for sick household members (if possible).
Clean hands regularly by handwashing with soap and water or using an alcohol-based hand sanitizer with at least 60% alcohol.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
Avoid sharing personal items like utensils, food, and drinks.",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
"Talk to the school or facility about their emergency operations plan. Understand the plan for continuing education and social services (such as student meal programs) during school dismissals. If your child attends a college or university, encourage them to learn about the school’s plan for a COVID-19 outbreak.",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",https://www.cdc.gov/coronavirus/2019-ncov/prepare/faq.html,Center for Disease Control and Prevention (CDC),,,
